seed,Beh_Mic,Beh_Mac,His_Mic,His_Mac,Lat_Mic,Lat_Mac,Site_Mic,Site_Mac,Subs_Mic,Subs_Mac,model
18,0.9775419955627329,0.8806418399315789,0.7887367875595535,0.34082078364108226,0.9183884973160068,0.5514198622938137,0.9277711537397306,0.7069707316553694,0.6885863632018755,0.33380951423245186,276models
19,0.977889128695836,0.9081844203168103,0.7871268947683515,0.33872661199665655,0.9187909705138072,0.5431821791353896,0.9286163474551116,0.6996509434111481,0.6860205965658974,0.3286329364157226,276models
20,0.9782362618289387,0.914371557037856,0.7885405818756258,0.3788716609707839,0.9183230954213644,0.5496025376740498,0.9281484723626686,0.7019230663955932,0.6873135417138315,0.3498721371833402,276models
21,0.9786538277716568,0.90790972738271,0.7893052809514466,0.37173880891043426,0.9181268897374364,0.5448225322254571,0.9284503272610191,0.7048104505458433,0.6887624452259132,0.3514555359162366,276models
22,0.977511810072898,0.9081338089580347,0.7905328242047381,0.3839053211733707,0.9183281263363368,0.5420661901799522,0.928319523471734,0.6999641592111459,0.6884454975826454,0.3474008468238044,276models
23,0.9780953962097086,0.9121851335584404,0.7893203736963642,0.37722369349113904,0.9182878790165568,0.5509444414023985,0.9280428231482459,0.7064137473414296,0.6885763013719305,0.3512013248127538,276models
24,0.978377127448169,0.9103814568993306,0.7876450790105196,0.3392249297927951,0.9188412796635324,0.5422789915014979,0.9286213783700842,0.7005358813252635,0.6882996010484427,0.33532405388185743,276models
25,0.9778036031413032,0.9074752732539204,0.7873281313672518,0.3383528898812915,0.9184840847004844,0.5385299526094424,0.9277610919097856,0.6958210389447241,0.6874996855678143,0.3235941161037669,276models
26,0.9779243451006434,0.8957706243315202,0.789249940886749,0.3716211886685111,0.918509239275347,0.5460064926805651,0.9279120193589608,0.7048184390571024,0.6854521031740043,0.3514693298706568,276models
27,0.9783620347032514,0.9147299077019949,0.7889732405632613,0.3746247744941528,0.9177898184342788,0.5465283621615957,0.928540883730524,0.7124148977866319,0.6880279316399274,0.3454619208726259,276models
28,0.9775419955627329,0.90713996293154,0.7915490690291843,0.3805279596629621,0.9193795875655906,0.5524506706480865,0.928500636410744,0.7052105447245309,0.6862822041444677,0.3506373404310809,276models
29,0.9775067791579256,0.9099636710499848,0.7906887825688858,0.3681358367040703,0.918041364182904,0.5390221020518879,0.9294112320207676,0.7065737438404357,0.6896126698562668,0.3473251283889496,276models
30,0.9766615854425444,0.8989518167786579,0.7887267257296084,0.3457307494777492,0.9180011168631238,0.5420378311415566,0.9287270275845068,0.7022311844092325,0.6874795619079241,0.33713134948049917,276models
31,0.9778036031413032,0.9147066923742307,0.7899743926427899,0.3703542367905587,0.9183432190812544,0.5420816798638003,0.9286716875198092,0.7047336920110734,0.6898642156048921,0.3516857290300747,276models
32,0.9781607981043512,0.9158604702448019,0.7885154273007632,0.3789956211946189,0.9182224771219142,0.5561366787628675,0.9287471512443968,0.6997937766602683,0.6877462004014671,0.3560523616946275,276models
33,0.9781457053594336,0.8990928420184492,0.7910409466169612,0.3788367003878699,0.9183884973160068,0.5380782335063482,0.9278264938044282,0.703830260242551,0.6888026925456933,0.3504428106455477,276models
34,0.9772099551745476,0.8952325731762695,0.7902762475411403,0.3795168797338383,0.9189972380276801,0.5380619508795329,0.9286415020299742,0.7006259554823807,0.6871575833496838,0.3495873087061314,276models
35,0.9773910681135578,0.9132922441730236,0.7898385579385323,0.3718891947818721,0.9186802903844122,0.5439414753339945,0.9294313556806576,0.7064105898360588,0.689346031362724,0.3490953587379414,276models
36,0.9778086340562758,0.9117349485708176,0.7872476367276918,0.3381345336403411,0.9181570752272716,0.5408314558791807,0.9286817493497542,0.6998137811080063,0.6890693310392361,0.3330185689357579,276models
37,0.9780048397402036,0.9176386493824368,0.7913931106650368,0.3856524014300177,0.9191531963918276,0.5535944651581759,0.928797460394122,0.7075777870413185,0.6867752338117733,0.3488162262669153,276models
